idStar Pred CC EA EC LPV MIRA NOVA RCorB RRab typeIICep Sum per flag
1-10362 CC 1 0 0 0 0 0 0 0 0 1 1.18242632383733 NonS
1-10394 RRab 0 0 0 0 0 0 0 1 0 1 0.0323747830585885 Sig
1-10455 RRab 0 0 0 0 0 0 0 1 0 1 0.283769806279869 NonS
1-10706 CC 1 0 0 0 0 0 0 0 0 1 6.33170225022571 NonS
1-10778 CC 1 0 0 0 0 0 0 0 0 1 3.047597633793 NonS
1-11240 EC 0 0 1 0 0 0 0 0 0 1 3.78382252050054 NonS
1-11494 RRab 0 0 0 0 0 0 0 1 0 1 0.0906608138192965 Sig
1-11732 RRab 0 0 0 0 0 0 0 1 0 1 0.0329481322274397 NonS
1-11769 RRab 0 0 0 0 0 0 0 1 0 1 0.0394243131803537 NonS
1-11961 RRab 0 0 0 0 0 0 0 1 0 1 0.0337041136879103 NonS
1-12325 RRab 0 0 0 0 0 0 0 1 0 1 0.0228381156456689 NonS
1-13303 CC 1 0 0 0 0 0 0 0 0 1 1.62163822307166 NonS
1-14021 EC 0 0 1 0 0 0 0 0 0 1 1.60572680959917 NonS
1-14038 CC 1 0 0 0 0 0 0 0 0 1 3.67066147315847 NonS
1-14105 CC 1 0 0 0 0 0 0 0 0 1 4.45307004113329 NonS
1-14165 RRab 0 0 0 0 0 0 0 1 0 1 0.33240763664986 Sig
1-14299 CC 1 0 0 0 0 0 0 0 0 1 31.171490287933 NonS
1-14375 EC 0 0 1 0 0 0 0 0 0 1 2.65137099924552 NonS
1-14894 CC 1 0 0 0 0 0 0 0 0 1 6.58994593335497 NonS
1-15086 RRab 0 0 0 0 0 0 0 1 0 1 0.0383001889483906 NonS
1-15288 RRab 0 0 0 0 0 0 0 1 0 1 0.247134317066494 NonS
1-15818 CC 1 0 0 0 0 0 0 0 0 1 7.11523147876732 NonS
1-15826 RRab 0 0 0 0 0 0 0 1 0 1 0.0584613150627122 NonS
1-15959 EC 0 0 1 0 0 0 0 0 0 1 1.48099840734523 NonS
1-16693 RRab 0 0 0 0 0 0 0 1 0 1 0.0275312475555836 NonS
1-17039 CC 1 0 0 0 0 0 0 0 0 1 1.00864732660327 NonS
1-17524 EC 0 0 1 0 0 0 0 0 0 1 4.22113483348381 NonS
1-17580 RRab 0 0 0 0 0 0 0 1 0 1 0.92798458593184 OverS
1-17979 RRab 0 0 0 0 0 0 0 1 0 1 0.19945839489815 OverS
1-18053 RRab 0 0 0 0 0 0 0 1 0 1 0.0231256806380034 OverS
1-18061 CC 1 0 0 0 0 0 0 0 0 1 3.75488315131889 NonS
1-18086 CC 1 0 0 0 0 0 0 0 0 1 2.28026901340807 NonS
1-18151 CC 1 0 0 0 0 0 0 0 0 1 3.50679265739247 NonS
1-18152 CC 1 0 0 0 0 0 0 0 0 1 1.15383804644807 NonS
1-18179 CC 1 0 0 0 0 0 0 0 0 1 1.85439460636429 NonS
1-18785 EA 0 1 0 0 0 0 0 0 0 1 191.998650928959 NonS
1-19059 RRab 0 0 0 0 0 0 0 1 0 1 0.100085411063069 NonS
1-19631 CC 1 0 0 0 0 0 0 0 0 1 1.07077638393663 NonS
1-19888 RRab 0 0 0 0 0 0 0 1 0 1 0.0317741912165647 NonS
1-20431 EC 0 0 1 0 0 0 0 0 0 1 11.0736863829609 OverS
1-20452 CC 1 0 0 0 0 0 0 0 0 1 3.71932554571928 NonS
1-20462 RRab 0 0 0 0 0 0 0 1 0 1 0.0225742664404081 NonS
1-20650 EC 0 0 1 0 0 0 0 0 0 1 75.5309187746069 NonS
1-21294 CC 1 0 0 0 0 0 0 0 0 1 2.51281840784027 OverS
1-21462 RRab 0 0 0 0 0 0 0 1 0 1 0.0314664193468966 NonS
1-21685 CC 1 0 0 0 0 0 0 0 0 1 6.33658913956961 NonS
1-21946 CC 1 0 0 0 0 0 0 0 0 1 1.71734034820178 NonS
1-22003 RRab 0 0 0 0 0 0 0 1 0 1 0.06982413824497 NonS
1-22058 EC 0 0 1 0 0 0 0 0 0 1 1.02175020194578 NonS
1-22077 EC 0 0 1 0 0 0 0 0 0 1 2.042484596847 NonS
1-22079 RRab 0 0 0 0 0 0 0 1 0 1 0.0237081771429469 OverS
1-22288 EC 0 0 1 0 0 0 0 0 0 1 6.74846696955251 NonS
1-22329 EC 0 0 1 0 0 0 0 0 0 1 10.0707891699476 NonS
1-22562 CC 1 0 0 0 0 0 0 0 0 1 44.6319065486314 NonS
1-23009 EC 0 0 1 0 0 0 0 0 0 1 7.11523147876732 NonS
1-23706 CC 1 0 0 0 0 0 0 0 0 1 3.69228174863383 NonS
1-24231 EC 0 0 1 0 0 0 0 0 0 1 1.82679431454863 NonS
1-24545 RRab 0 0 0 0 0 0 0 1 0 1 0.0780867584452575 NonS
1-24723 CC 1 0 0 0 0 0 0 0 0 1 1.532311659449 NonS
1-24910 CC 1 0 0 0 0 0 0 0 0 1 1.00091941291528 NonS
1-24958 RRab 0 0 0 0 0 0 0 1 0 1 0.994264124717071 NonS
1-25120 EC 0 0 1 0 0 0 0 0 0 1 2.87626407507438 NonS
